timestamp,id,element,info
1698090514797,mouseMoved,mouse,-
1698090514804,mouseMoved,mouse,-
1698090514811,mouseMoved,mouse,-
1698090514819,mouseMoved,mouse,-
1698090514826,mouseMoved,mouse,-
1698090514834,mouseMoved,mouse,-
1698090514841,mouseMoved,mouse,-
1698090514849,mouseMoved,mouse,-
1698090514857,mouseMoved,mouse,-
1698090514864,mouseMoved,mouse,-
1698090516131,mouseMoved,mouse,-
1698090516619,mouseMoved,mouse,-
1698090518059,mouseMoved,mouse,-
1698090518066,mouseMoved,mouse,-
1698090518074,mouseMoved,mouse,-
1698090518082,mouseMoved,mouse,-
1698090518090,mouseMoved,mouse,-
1698090518096,mouseMoved,mouse,-
1698090518104,mouseMoved,mouse,-
1698090518112,mouseMoved,mouse,-
1698090518119,mouseMoved,mouse,-
1698090518126,mouseMoved,mouse,-
1698090518134,mouseMoved,mouse,-
1698090518142,mouseMoved,mouse,-
1698090518164,mouseMoved,mouse,-
1698090518614,mouseMoved,mouse,-
1698090518629,mouseMoved,mouse,-
1698090518681,mouseMoved,mouse,-
1698090518696,mouseMoved,mouse,-
1698090518711,mouseMoved,mouse,-
1698090518719,mouseMoved,mouse,-
1698090518726,mouseMoved,mouse,-
1698090518749,mouseMoved,mouse,-
1698090518771,mouseMoved,mouse,-
1698090518779,mouseMoved,mouse,-
1698090518786,mouseMoved,mouse,-
1698090518816,mouseMoved,mouse,-
1698090518824,mouseMoved,mouse,-
1698090518832,mouseMoved,mouse,-
1698090518839,mouseMoved,mouse,-
1698090518846,mouseMoved,mouse,-
1698090518855,mouseMoved,mouse,-
1698090518861,mouseMoved,mouse,-
1698090518870,mouseMoved,mouse,-
1698090518876,mouseMoved,mouse,-
1698090518885,mouseMoved,mouse,-
1698090518891,mouseMoved,mouse,-
1698090518899,mouseMoved,mouse,-
1698090518906,mouseMoved,mouse,-
1698090518914,mouseMoved,mouse,-
1698090518922,mouseMoved,mouse,-
1698090518929,mouseMoved,mouse,-
1698090518937,mouseMoved,mouse,-
1698090518944,mouseMoved,mouse,-
1698090518952,mouseMoved,mouse,-
1698090518959,mouseMoved,mouse,-
1698090518966,mouseMoved,mouse,-
1698090518973,mouseMoved,mouse,-
1698090518981,mouseMoved,mouse,-
1698090518997,mouseMoved,mouse,-
1698090519004,mouseMoved,mouse,-
1698090519012,mouseMoved,mouse,-
1698090519018,mouseMoved,mouse,-
1698090519027,mouseMoved,mouse,-
1698090519035,mouseMoved,mouse,-
1698090519042,mouseMoved,mouse,-
1698090519050,mouseMoved,mouse,-
1698090519058,mouseMoved,mouse,-
1698090519072,mouseMoved,mouse,-
1698090519149,mouseMoved,mouse,-
1698090519161,mouseMoved,mouse,-
1698090519808,mouseMoved,mouse,-
1698090519845,mouseMoved,mouse,-
1698090519859,mouseMoved,mouse,-
1698090519882,mouseMoved,mouse,-
1698090520774,mouseMoved,mouse,-
1698090520781,mouseMoved,mouse,-
1698090520789,mouseMoved,mouse,-
1698090520797,mouseMoved,mouse,-
1698090520805,mouseMoved,mouse,-
1698090520811,mouseMoved,mouse,-
1698090520819,mouseMoved,mouse,-
1698090520827,mouseMoved,mouse,-
